"Jersey","Name","Day","Team","Opponent","goal","assist","defense","drop","throwaway","o-line","o-scoring-line","d-line","d-scoring-line"
"","Akshara Domala","day-1","Telangana Ultimate","Uttar Pradesh","","","","1","","4","0","2","0"
"","Ankita P","day-1","Telangana Ultimate","Uttar Pradesh","","","","","2","8","2","1","0"
"","Goundla Mamatha","day-1","Telangana Ultimate","Uttar Pradesh","","","","","","3","0","1","0"
"","Manasa H G","day-1","Telangana Ultimate","Uttar Pradesh","","","","","","7","2","0","0"
"","Nayanatara Vadali","day-1","Telangana Ultimate","Uttar Pradesh","","","","","1","3","1","3","0"
"","Ramya Bhavana Kothapalli","day-1","Telangana Ultimate","Uttar Pradesh","","","","1","","3","0","0","0"
"","Sindhu M","day-1","Telangana Ultimate","Uttar Pradesh","","","","","","3","0","1","0"
"","Usha Rani","day-1","Telangana Ultimate","Uttar Pradesh","1","","","1","","9","2","0","0"
"","Varshita M","day-1","Telangana Ultimate","Uttar Pradesh","","","","","","3","0","2","0"
"","Abimanyu Nair","day-1","Telangana Ultimate","Uttar Pradesh","","","","","","0","0","1","0"
"","Anil K","day-1","Telangana Ultimate","Uttar Pradesh","","","","","","","","",""
"","Anil Naik","day-1","Telangana Ultimate","Uttar Pradesh","","","","","","1","0","3","0"
"","Dhiraj Gangaraju","day-1","Telangana Ultimate","Uttar Pradesh","","1","","1","1","8","2","0","0"
"1","Kishen Chandar","day-1","Telangana Ultimate","Uttar Pradesh","","","","","2","3","0","1","0"
"7","Mayank Dawra","day-1","Telangana Ultimate","Uttar Pradesh","1","","","1","","6","2","0","0"
"","Panvi S","day-1","Telangana Ultimate","Uttar Pradesh","","","","","","0","0","2","0"
"","Pranay M","day-1","Telangana Ultimate","Uttar Pradesh","","1","","","2","8","2","0","0"
"","Ravitheja Tetali","day-1","Telangana Ultimate","Uttar Pradesh","","","","","","3","0","1","0"
"","Sandeep G","day-1","Telangana Ultimate","Uttar Pradesh","","","","","","3","0","1","0"
"","Suresh K","day-1","Telangana Ultimate","Uttar Pradesh","","","","","","4","1","0","0"
"","Tharun K","day-1","Telangana Ultimate","Uttar Pradesh","","","","","","1","0","0","0"
"59","Venkatesh Kumar","day-1","Telangana Ultimate","Uttar Pradesh","","","","","","3","0","0","0"
"11","Angana Prasad","day-1","Uttar Pradesh","Telangana Ultimate","","","","","","","","",""
"17","Anshika Itaunja","day-1","Uttar Pradesh","Telangana Ultimate","","","","","","","","5","5"
"8","Kajal JMP","day-1","Uttar Pradesh","Telangana Ultimate","","1","","1","","2","2","3","2"
"97","Mabiya Parbeen","day-1","Uttar Pradesh","Telangana Ultimate","2","","1","","","2","2","6","4"
"9","Manju Kushwaha","day-1","Uttar Pradesh","Telangana Ultimate","2","","","","","3","3","10","8"
"2","Neha Bharti","day-1","Uttar Pradesh","Telangana Ultimate","1","","1","","1","3","3","7","5"
"18","Raveena Kannaujia","day-1","Uttar Pradesh","Telangana Ultimate","","","","","","","","3","3"
"19","Roshni Bharti","day-1","Uttar Pradesh","Telangana Ultimate","","","","1","","","","6","6"
"41","Sheeba Itaunja","day-1","Uttar Pradesh","Telangana Ultimate","1","","","","","","","3","3"
"22","Vandana Kashyap","day-1","Uttar Pradesh","Telangana Ultimate","1","1","1","","1","","","7","7"
"23","Akshai Abraham","day-1","Uttar Pradesh","Telangana Ultimate","","","","","","","","",""
"10","Arun Kumar","day-1","Uttar Pradesh","Telangana Ultimate","","","","","","","","",""
"12","Chandan Rastogi","day-1","Uttar Pradesh","Telangana Ultimate","1","","","","","2","2","4","4"
"15","Divakar Rai","day-1","Uttar Pradesh","Telangana Ultimate","1","2","1","","","","","7","6"
"7","Govind JMP","day-1","Uttar Pradesh","Telangana Ultimate","1","2","1","","4","3","3","6","5"
"3","Gufraan Itaunja","day-1","Uttar Pradesh","Telangana Ultimate","1","","1","","","","","4","4"
"4","Krishna Sharma","day-1","Uttar Pradesh","Telangana Ultimate","","","","","","1","1","5","5"
"85","Krishna Singh","day-1","Uttar Pradesh","Telangana Ultimate","2","","","","","","","4","4"
"5","Priyanshu Singh","day-1","Uttar Pradesh","Telangana Ultimate","1","2","","","1","2","2","3","2"
"60","Sonu Kashyap","day-1","Uttar Pradesh","Telangana Ultimate","1","1","","","","1","1","8","7"
"45","Sunny Azad","day-1","Uttar Pradesh","Telangana Ultimate","","1","","","1","1","1","4","2"
"1","Vikram Namdeo","day-1","Uttar Pradesh","Telangana Ultimate","","2","1","","","1","1","3","2"
"97","Arya Shah","day-1","Gujarat Ultimate","Tamilnadu","1","","","","","13","11","1","0"
"39","Bhavya Jain","day-1","Gujarat Ultimate","Tamilnadu","","","","","","0","0","11","2"
"6","Dhwani Jain","day-1","Gujarat Ultimate","Tamilnadu","","","","","","0","0","5","0"
"21","Khushi Desai","day-1","Gujarat Ultimate","Tamilnadu","","","","","","0","0","11","1"
"18","Kirtika Khambhu","day-1","Gujarat Ultimate","Tamilnadu","","","","","","2","2","0","0"
"1","Maitry Acharya","day-1","Gujarat Ultimate","Tamilnadu","1","","","","","13","11","0","0"
"2","Muskan Jain","day-1","Gujarat Ultimate","Tamilnadu","","","","","","0","0","11","2"
"15","Neha Diwakar","day-1","Gujarat Ultimate","Tamilnadu","","","","","","0","0","2","0"
"4","Nimisha Vasava","day-1","Gujarat Ultimate","Tamilnadu","","","","","","0","0","0","0"
"17","Ritika Solanki","day-1","Gujarat Ultimate","Tamilnadu","","","","","1","13","11","0","0"
"5","Riya Rathod","day-1","Gujarat Ultimate","Tamilnadu","","","","","","0","0","0","0"
"12","Shraddha Chaudhary","day-1","Gujarat Ultimate","Tamilnadu","","","","","","4","3","1","1"
"8","Suman Nachiketa","day-1","Gujarat Ultimate","Tamilnadu","","","","","","0","0","0","0"
"9","Tanisha Rathod","day-1","Gujarat Ultimate","Tamilnadu","","","","","","0","0","0","0"
"23","Akshay Surange","day-1","Gujarat Ultimate","Tamilnadu","1","","","","","0","0","9","1"
"11","Altaf Shaikh","day-1","Gujarat Ultimate","Tamilnadu","","","","","","0","0","1","0"
"29","Ansh Kapadia","day-1","Gujarat Ultimate","Tamilnadu","","","","","1","1","1","9","1"
"7","Atul Parmar","day-1","Gujarat Ultimate","Tamilnadu","1","2","","","","5","4","0","0"
"56","Jigarkumar Parmar","day-1","Gujarat Ultimate","Tamilnadu","1","","","","","0","0","1","1"
"26","Karan Sharam","day-1","Gujarat Ultimate","Tamilnadu","4","5","1","","2","13","11","1","1"
"14","Kenny Borsada","day-1","Gujarat Ultimate","Tamilnadu","2","1","","","1","12","11","0","0"
"19","Krish Patel","day-1","Gujarat Ultimate","Tamilnadu","","1","","","","0","0","2","1"
"10","Krishna Damor","day-1","Gujarat Ultimate","Tamilnadu","2","3","","","","11","9","1","0"
"3","Nikhil Diwakar","day-1","Gujarat Ultimate","Tamilnadu","","","","","","3","3","0","0"
"84","Noman Pthan","day-1","Gujarat Ultimate","Tamilnadu","","","","","","1","0","0","0"
"45","Rutvikkumar Nayka","day-1","Gujarat Ultimate","Tamilnadu","","","1","","","0","0","10","2"
"35","Sanjay Parmar","day-1","Gujarat Ultimate","Tamilnadu","","1","","","","0","0","6","1"
"55","Swayam Narang","day-1","Gujarat Ultimate","Tamilnadu","","","","","","0","0","2","0"
"","Deepika Shankar","day-1","Tamilnadu","Gujarat Ultimate","","","","1","1","","","10","2"
