"Jersey","Name","Day","Team","Opponent","goal","assist","defense","drop","throwaway","o-line","o-scoring-line","d-line","d-scoring-line"
"17","Ananya Shaju","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"88","Apoorva C A","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"10","Ashwini Lokanath","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Auroshree Mohanta","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"55","Meenakshi Kallapa Poojar","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Naina Mathews","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Pooja Raghu","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Sagarika Ghanagam","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"19","Shrilaxmi Patil","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Shruthi Gowda","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"2","Sneha Patil","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"3","Stania Peris","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"3","Swathi Shetty","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Vaishnavi Devi","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Aaron Varghese","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Abdul Talib","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"58","Ajith Jagadish","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Chethan Srikanth","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"0","Deepak Gowda","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Esai Selvan Esakki","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"18","Grant Wagner","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"9","Naveen G","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Prashanth S","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"13","Ranjan Khyadad","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Sabeel Khader","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Samatv Iyer","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"43","Sarang Minhas","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Sushil Kumar","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"","Yadav Ajay","day-1","Karnataka State","Maharashtra Ultimate","","","","","","","","",""
"24","Ananya Thomas","day-1","Maharashtra Ultimate","Karnataka State","","","","","","","","",""
"26","Anudnya Jori","day-1","Maharashtra Ultimate","Karnataka State","","","","","","1","","4","1"
"3","Kalpana Rathod","day-1","Maharashtra Ultimate","Karnataka State","","","","","","","","",""
"6","Kavya Chandel","day-1","Maharashtra Ultimate","Karnataka State","","","","","","1","1","",""
"27","Kimaya Dhongde","day-1","Maharashtra Ultimate","Karnataka State","","","","","","1","","",""
"97","Nirbha Ghurye","day-1","Maharashtra Ultimate","Karnataka State","1","","","1","1","3","","12","4"
"11","Poonam Pokale","day-1","Maharashtra Ultimate","Karnataka State","","","","","","","","",""
