jersey,name,day,team,opponent,goal,assist,defense,drop,throwaway,o-line,o-scoring-line,d-line,d-scoring-line
,Akshara Domala,day-1,Telangana Ultimate,Uttar Pradesh,,,,,,4,,2,
,Ankita P,day-1,Telangana Ultimate,Uttar Pradesh,,,,,1,7,2,1,
,Goundla Mamatha,day-1,Telangana Ultimate,Uttar Pradesh,,,,,,,,,
,Manasa H G,day-1,Telangana Ultimate,Uttar Pradesh,,,1,,,7,2,1,
,Nayanatara Vadali,day-1,Telangana Ultimate,Uttar Pradesh,,,,,2,1,,3,
,Ramya Bhavana Kothapalli,day-1,Telangana Ultimate,Uttar Pradesh,,,,,,6,1,1,
,Sindhu M,day-1,Telangana Ultimate,Uttar Pradesh,,,,,,3,1,2,
,Usha Rani,day-1,Telangana Ultimate,Uttar Pradesh,1,,,,,10,2,1,
,Varshita M,day-1,Telangana Ultimate,Uttar Pradesh,,,,,,3,,3,
,Abimanyu Nair,day-1,Telangana Ultimate,Uttar Pradesh,,,,,,,,1,
,Anil K,day-1,Telangana Ultimate,Uttar Pradesh,,,,,1,,,2,
,Anil Naik,day-1,Telangana Ultimate,Uttar Pradesh,,,,,,1,,2,
,Dhiraj Gangaraju,day-1,Telangana Ultimate,Uttar Pradesh,,1,,,4,9,2,1,
1,Kishen Chandar,day-1,Telangana Ultimate,Uttar Pradesh,,,,,1,3,,1,
7,Mayank Dawra,day-1,Telangana Ultimate,Uttar Pradesh,1,,,1,,6,2,,
,Panvi S,day-1,Telangana Ultimate,Uttar Pradesh,,,,,,1,,2,
,Pranay M,day-1,Telangana Ultimate,Uttar Pradesh,,1,,,,6,1,1,
,Ravitheja Tetali,day-1,Telangana Ultimate,Uttar Pradesh,,,,,,2,,1,
,Sandeep G,day-1,Telangana Ultimate,Uttar Pradesh,,,,,,4,,1,
,Suresh K,day-1,Telangana Ultimate,Uttar Pradesh,,,,,,4,1,,
,Tharun K,day-1,Telangana Ultimate,Uttar Pradesh,,,,,,1,,,
59,Venkatesh Kumar,day-1,Telangana Ultimate,Uttar Pradesh,,,,1,,2,,1,
11,Angana Prasad,day-1,Uttar Pradesh,Telangana Ultimate,,,,,,,,,
17,Anshika Itaunja,day-1,Uttar Pradesh,Telangana Ultimate,,,,,,,,5,5
8,Kajal JMP,day-1,Uttar Pradesh,Telangana Ultimate,,1,,1,,2,2,3,2
97,Mabiya Parbeen,day-1,Uttar Pradesh,Telangana Ultimate,2,,1,,,2,2,6,4
9,Manju Kushwaha,day-1,Uttar Pradesh,Telangana Ultimate,2,,,,,3,3,10,8
2,Neha Bharti,day-1,Uttar Pradesh,Telangana Ultimate,1,,1,,1,3,3,7,5
18,Raveena Kannaujia,day-1,Uttar Pradesh,Telangana Ultimate,,,,,,,,3,3
19,Roshni Bharti,day-1,Uttar Pradesh,Telangana Ultimate,,,,1,,,,6,6
41,Sheeba Itaunja,day-1,Uttar Pradesh,Telangana Ultimate,1,,,,,,,3,3
22,Vandana Kashyap,day-1,Uttar Pradesh,Telangana Ultimate,1,1,1,,1,,,7,7
23,Akshai Abraham,day-1,Uttar Pradesh,Telangana Ultimate,,,,,,,,,
10,Arun Kumar,day-1,Uttar Pradesh,Telangana Ultimate,,,,,,,,,
12,Chandan Rastogi,day-1,Uttar Pradesh,Telangana Ultimate,1,,,,,2,2,4,4
15,Divakar Rai,day-1,Uttar Pradesh,Telangana Ultimate,1,2,1,,,,,7,6
7,Govind JMP,day-1,Uttar Pradesh,Telangana Ultimate,1,2,1,,4,3,3,6,5
3,Gufraan Itaunja,day-1,Uttar Pradesh,Telangana Ultimate,1,,1,,,,,4,4
4,Krishna Sharma,day-1,Uttar Pradesh,Telangana Ultimate,,,,,,1,1,5,5
85,Krishna Singh,day-1,Uttar Pradesh,Telangana Ultimate,2,,,,,,,4,4
5,Priyanshu Singh,day-1,Uttar Pradesh,Telangana Ultimate,1,2,,,1,2,2,3,2
60,Sonu Kashyap,day-1,Uttar Pradesh,Telangana Ultimate,1,1,,,,1,1,8,7
45,Sunny Azad,day-1,Uttar Pradesh,Telangana Ultimate,,1,,,1,1,1,4,2
1,Vikram Namdeo,day-1,Uttar Pradesh,Telangana Ultimate,,2,1,,,1,1,3,2
97,Arya Shah,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
39,Bhavya Jain,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
6,Dhwani Jain,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
21,Khushi Desai,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
18,Kirtika Khambhu,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
1,Maitry Acharya,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
2,Muskan Jain,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
15,Neha Diwakar,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
4,Nimisha Vasava,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
17,Ritika Solanki,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
5,Riya Rathod,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
12,Shraddha Chaudhary,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
8,Suman Nachiketa,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
9,Tanisha Rathod,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
23,Akshay Surange,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
11,Altaf Shaikh,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
29,Ansh Kapadia,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
7,Atul Parmar,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
56,Jigarkumar Parmar,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
26,Karan Sharam,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
14,Kenny Borsada,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
19,Krish Patel,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
10,Krishna Damor,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
3,Nikhil Diwakar,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
84,Noman Pthan,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
45,Rutvikkumar Nayka,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
35,Sanjay Parmar,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
55,Swayam Narang,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
,Deepika Shankar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Gothainayagi R,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Monika Shankar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
8,Mrinalini Siddhartha,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
18,Pooja B,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
77,Pooja S,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
0,Sagarika AP,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
94,Samyuktha Arvind,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Selvi Murugan,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Shruthi Nathella,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
13,Snehankita Rout,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Srividya Suriyashekar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
2,Vijaya Dharshini M,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Arulmozhi Selvan,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Hariharan Kumar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Harsh Nisar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
31,Harsha GK,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
